,open,close,high,low,volume,money
2016-09-23,5452.53,5435.09,5457.43,5433.02,1131009800.0,11959953773.0
2016-09-26,5417.49,5370.19,5417.49,5369.5,1676973100.0,17164834837.0
2016-09-27,5361.02,5398.75,5398.95,5359.27,1359762300.0,14499803818.0
2016-09-28,5398.98,5376.82,5402.14,5372.65,1239165400.0,12082886315.0
2016-09-29,5388.13,5405.04,5430.19,5385.14,1768104000.0,16995880057.0
2016-09-30,5393.79,5406.28,5419.03,5392.42,1264303500.0,12674457729.0
2016-10-10,5434.28,5467.8,5476.97,5423.43,1889538600.0,18895979043.0
2016-10-11,5473.0,5471.98,5482.61,5454.32,2032198700.0,21187214801.0
2016-10-12,5459.08,5453.99,5463.07,5444.7,1414819800.0,14600417762.0
2016-10-13,5453.12,5446.18,5466.31,5436.11,1931062100.0,19189393297.0
2016-10-14,5441.51,5444.75,5448.9,5422.79,1280335300.0,13575627265.0
2016-10-17,5443.54,5393.78,5446.34,5391.31,1420036600.0,15035151807.0
2016-10-18,5389.41,5460.27,5463.28,5389.27,2103606000.0,21983578203.0
2016-10-19,5460.5,5442.48,5471.82,5435.72,1404018000.0,14403105353.0
2016-10-20,5449.66,5445.24,5460.87,5440.59,1150046200.0,11725579083.0
2016-10-21,5442.97,5470.66,5485.63,5441.78,1948919600.0,21890105682.0
2016-10-24,5470.3,5546.33,5597.46,5468.1,4025559300.0,45392151756.0
2016-10-25,5542.83,5531.28,5555.51,5518.43,2045993300.0,20989198942.0
2016-10-26,5528.62,5504.88,5536.29,5500.31,1852688700.0,20270232373.0
2016-10-27,5501.7,5496.17,5507.97,5477.48,1517648600.0,16815996566.0
2016-10-28,5509.84,5527.1,5583.13,5509.84,2884804800.0,34578467534.0
2016-10-31,5505.22,5519.43,5528.71,5463.32,1740502200.0,20035864132.0
2016-11-01,5516.86,5558.86,5558.94,5508.42,2035626000.0,22894745241.0
2016-11-02,5539.8,5523.39,5565.52,5517.34,2107202500.0,24643558372.0
2016-11-03,5512.23,5589.02,5615.41,5508.86,3745350300.0,47621209633.0
2016-11-04,5580.56,5577.84,5616.11,5564.94,2552909800.0,30395538498.0
2016-11-07,5580.32,5581.99,5593.58,5568.14,1920210700.0,22751171145.0
2016-11-08,5603.28,5602.07,5620.44,5580.53,2541394600.0,27027186046.0
2016-11-09,5598.27,5545.35,5599.42,5506.64,3023473200.0,35288589044.0
2016-11-10,5588.0,5610.86,5639.3,5587.67,2682176000.0,32797967673.0
2016-11-11,5612.24,5678.11,5695.94,5599.15,5054381000.0,60803062344.0
2016-11-14,5659.66,5696.78,5763.85,5652.92,5418578900.0,66105590829.0
2016-11-15,5690.44,5684.07,5705.77,5667.7,2769829500.0,32116155851.0
2016-11-16,5692.76,5687.06,5699.81,5667.46,2468054500.0,29677980224.0
